age,sex,year,pop,tva,tipp,cot,irpp,impot,property,chomage,retraite,revsoc,maladie,educ,grth,dsct
100,0,2007,2352.0,10244.4148315,4629.81947343,1169.23889381,9389.33644931,3765.29648899,6711.55854492,0.0,77716.3928434,3408.54563637,32818.3418486,0.0,1.0,1.0
0,0,2008,400303.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14065.0080985,0.0,1.012,0.943396226415
1,0,2008,393659.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11720.8348914,0.0,1.012,0.943396226415
2,0,2008,385537.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9376.67206568,18210.9441271,1.012,0.943396226415
3,0,2008,385305.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9376.67206568,18210.9441271,1.012,0.943396226415
4,0,2008,384127.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9220.39177561,18210.9441271,1.012,0.943396226415
5,0,2008,389580.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9064.11148554,18210.9441271,1.012,0.943396226415
6,0,2008,396146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8907.84157679,18210.9441271,1.012,0.943396226415
7,0,2008,406200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8751.56128672,18698.7372733,1.012,0.943396226415
8,0,2008,390250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8595.28099665,18698.7372733,1.012,0.943396226415
9,0,2008,387666.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8439.00070658,18698.7372733,1.012,0.943396226415
10,0,2008,383280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8282.72041652,18698.7372733,1.012,0.943396226415
11,0,2008,387579.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8126.45050776,18698.7372733,1.012,0.943396226415
12,0,2008,383579.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7970.17021769,31462.6579338,1.012,0.943396226415
13,0,2008,374021.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7813.88992763,31462.6579338,1.012,0.943396226415
14,0,2008,374595.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7657.60963756,31462.6579338,1.012,0.943396226415
15,0,2008,391662.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7501.3397288,31462.6579338,1.012,0.943396226415
16,0,2008,399362.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7345.05943874,31462.6579338,1.012,0.943396226415
