sex,age,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
1,33,440739,438836,447940,446673,448860,443854,457239,461851,451179,451513,438595,439187,441890,445934,455842,458645,447842,424627,401261,389262,400722,396227
1,34,439475,441491,439563,448829,447042,449156,444063,457586,462252,452853,453302,440630,441228,443731,448220,457304,460857,449748,426048,402546,390707,402238
1,35,439183,439851,442174,440144,449329,447211,449385,444323,457775,463554,454676,455114,442654,443285,445542,450089,460889,462520,451320,427283,403896,392159
1,36,439265,439736,440730,443111,440780,450021,447521,449916,444523,459461,464783,456396,456983,444646,445296,446642,452673,461948,464632,452385,428451,405174
1,37,432395,439613,439644,440673,442995,440419,449673,446842,449315,445933,461061,465893,458056,458830,446555,446764,449135,455513,464492,465640,453454,429674
1,38,440244,432544,440039,439739,440635,443003,440262,449715,446517,450235,447233,462565,467070,459740,460506,447876,448119,450592,456684,465330,466532,454438
1,39,433152,440641,433160,440748,439904,440708,443083,440169,449480,447767,451088,448408,463962,468135,461338,461713,448464,449965,451368,457355,466078,467279
1,40,449983,433071,440365,432989,440628,439407,440217,442734,439622,450428,448922,451876,449594,465418,469206,462466,462646,448872,450877,452023,458063,466876
1,41,444995,449385,432947,439984,432784,440442,439026,439837,442328,440562,451159,449926,452546,450628,466663,469575,463808,463254,449405,451345,452556,458689
1,42,443353,444390,448776,432653,439451,432348,440124,438523,439350,442800,441351,451744,450863,453101,451548,467487,470143,464168,462277,449684,451632,452972
1,43,436516,442465,443692,447910,432059,438571,431577,439512,437581,440006,443063,441968,452126,451561,453443,451998,467444,470315,463951,462248,449786,451747
1,44,417111,436269,441957,443297,447240,431608,437865,430986,438927,438169,440588,443218,442532,452477,452201,453412,452519,466473,471094,463790,462143,449717
1,45,318519,416108,435357,440898,442326,446171,430896,437029,430377,439077,438588,440906,443158,442977,452638,452508,454007,452056,466732,470708,463521,461912
1,46,314835,317731,415336,434509,439900,441378,445073,430167,436172,430864,439093,438825,441190,443041,443273,452478,452643,453502,452468,466353,470377,463256
1,47,307991,314855,317291,414817,433840,438965,440491,443940,429334,436851,431274,439026,439020,441356,442891,443315,451693,452325,453042,451926,465777,469868
1,48,287651,307261,314270,316393,413723,432801,437853,439552,442953,429380,437478,431564,438991,439113,441411,442436,443748,450957,450791,452401,451353,465253
1,49,260317,287561,307153,314239,315981,413161,432205,437059,438825,443391,429294,438067,431789,438755,439224,441318,442263,442911,449683,450094,451744,450796
1,50,275952,259984,286882,306429,313530,314909,411925,430900,435574,439137,443722,429178,438578,432009,438557,439114,441437,441771,442286,449007,449443,451151
1,51,296266,275040,259514,286052,305589,312828,313848,410750,429792,435969,439295,443927,428930,438836,431993,438038,437879,440993,440359,441273,448042,448490
1,52,294763,295579,274421,259182,285322,304827,312127,312754,409504,430230,436298,439409,444075,428583,439151,431902,437092,437691,439436,439327,440315,447016
1,53,296040,293903,294808,273762,258780,284634,304147,311570,311950,410012,430641,436641,439479,444168,428352,439472,430702,436485,437026,438405,438375,439354
1,54,301638,295153,292955,293858,272819,258116,283577,303050,310522,312256,410493,431079,436943,439479,444190,427965,438127,429804,435665,436053,437406,437342
1,55,301516,300261,293862,291771,292593,271625,257267,282369,301886,310487,312407,410759,431303,437070,439356,444056,427179,437645,428460,434470,434913,436222
1,56,311926,300438,299342,292994,290973,291875,270886,256912,281784,301950,310395,312552,410947,431426,437231,439123,444177,426133,436437,427228,433278,433597
1,57,308005,310895,299144,298062,291903,289823,290688,269784,256143,282078,301866,310191,312513,411012,431436,437167,437835,444221,425196,435062,425788,431953
1,58,321485,306480,309721,297826,296816,290834,288723,289700,268822,256002,282247,301683,309913,312444,411081,431336,436625,437262,443018,423672,433592,424292
1,59,320505,320193,305355,308828,296752,295731,289809,287599,288650,268868,255865,282297,301455,309561,312216,410928,430188,435020,435946,441309,422060,431835
1,60,326562,318801,318283,303520,307177,295049,294021,288276,286101,288357,268795,255505,282283,301091,309012,311804,408875,428903,433614,434208,439490,420355
1,61,311676,324960,317563,316911,302209,305952,293688,292767,287168,285774,287996,268617,255072,282100,300581,308369,310751,406877,424899,431809,432267,437535
1,62,312848,309816,322835,315701,315038,300450,304388,292092,291257,286650,285417,287467,268342,254482,281824,299928,306544,309862,403930,422893,429729,430217
1,63,306551,310665,307928,320550,313793,312915,298506,302733,290418,290894,285931,284870,286841,267842,253849,281357,298023,305416,307915,401858,420653,427505
